name,population
New York City,18804000
Los Angeles,12447000
Chicago,8865000
Houston,6371000
Dallas-Fort Worth,6301000
Miami,6122000
Atlanta,5803000
Philadelphia,5717000
Washington DC,5322000
Phoenix,4511000
Boston,4309000
Detroit,3548000
